herrialdea	guztira	average
Panama	78	4.588235294117647
Colombia	76	4.470588235294118
Uzbekistan	75	4.411764705882353
Cuba	74	4.352941176470588
Brasil	70	4.117647058823529
Republica Dominicana	64	3.764705882352941
Txina	63	3.7058823529411766
Indonesia	62	3.6470588235294117
Cabo Verde	61	3.588235294117647
Vietnam	57	3.3529411764705883
Japonia	53	3.1176470588235294
Puerto Rico	52	3.0588235294117645
Georgia	44	2.588235294117647
Hego Korea	39	2.2941176470588234
Azoreak	35	2.0588235294117645
